# ECG Data Recording
# Format: sample_number,time(s),voltage(V)
# Sample rate: ~200 Hz
# Target duration: 10 seconds
261,1.843599,1.878000
262,1.850634,1.418000
263,1.857675,1.916000
264,1.864722,2.026000
265,1.871765,1.428000
266,1.878859,1.844000
267,1.885921,1.538000
268,1.892968,1.080000
269,1.900009,1.768000
270,1.907051,1.436000
271,1.914092,1.212000
272,1.921135,1.912000
273,1.928176,1.454000
274,1.935218,1.414000
275,1.942288,1.978000
276,1.949349,1.456000
277,1.956395,1.644000
278,1.963437,1.998000
279,1.970480,1.466000
280,1.977522,1.850000
281,1.984564,1.972000
282,1.991604,1.472000
283,1.998646,2.006000
284,2.005691,1.888000
285,2.012739,1.464000
286,2.019781,2.116000
287,2.026823,1.788000
288,2.033866,1.496000
289,2.040909,2.180000
290,2.047949,1.726000
291,2.054990,1.626000
292,2.062035,2.214000
293,2.069079,1.704000
294,2.076119,1.834000
295,2.083161,2.240000
296,2.090204,1.708000
297,2.097251,2.032000
298,2.104296,2.210000
299,2.111338,1.674000
300,2.118405,2.146000
301,2.125453,2.054000
302,2.132495,1.568000
303,2.139538,2.150000
304,2.146585,1.808000
305,2.153639,1.430000
306,2.160692,2.060000
307,2.167734,1.578000
308,2.174778,1.398000
309,2.181820,1.972000
310,2.188862,1.428000
311,2.195903,1.478000
312,2.202948,1.888000
313,2.209985,1.324000
314,2.217031,1.596000
315,2.224071,1.806000
316,2.231110,1.270000
317,2.238152,1.724000
318,2.245193,1.714000
319,2.252234,1.248000
320,2.259275,1.846000
321,2.266315,1.596000
322,2.273352,1.232000
323,2.280400,1.914000
324,2.287442,1.498000
325,2.294481,1.290000
326,2.301521,1.920000
327,2.308562,1.408000
328,2.315602,1.404000
329,2.322639,1.874000
330,2.329682,1.326000
331,2.336732,1.546000
332,2.343772,1.820000
333,2.350815,1.276000
334,2.357855,1.688000
335,2.364897,1.742000
336,2.371935,1.254000
337,2.378978,1.818000
338,2.386021,1.624000
339,2.393062,1.216000
340,2.400104,1.872000
341,2.407146,1.492000
342,2.414183,1.236000
343,2.421249,1.890000
344,2.428308,1.388000
345,2.435364,1.330000
346,2.442406,1.844000
347,2.449451,1.300000
348,2.456492,1.472000
349,2.463537,1.794000
350,2.470579,1.258000
351,2.477622,1.640000
352,2.484662,1.744000
353,2.491701,1.244000
354,2.498737,1.778000
355,2.505779,1.648000
356,2.512819,1.230000
357,2.519859,1.878000
358,2.526898,1.538000
359,2.533938,1.250000
360,2.540981,1.920000
361,2.548022,1.452000
362,2.555060,1.338000
363,2.562102,1.900000
364,2.569142,1.360000
365,2.576182,1.474000
366,2.583223,1.856000
367,2.590264,1.310000
368,2.597304,1.630000
369,2.604345,1.802000
370,2.611383,1.288000
371,2.618423,1.776000
372,2.625460,1.722000
373,2.632565,1.268000
374,2.639630,1.898000
375,2.646649,1.596000
376,2.653784,1.274000
377,2.660853,1.950000
378,2.667907,1.492000
379,2.674964,1.354000
380,2.682034,1.930000
381,2.689089,1.400000
382,2.696141,1.498000
383,2.703215,1.878000
384,2.710312,1.318000
385,2.717933,1.708000
386,2.725168,1.724000
387,2.732264,1.246000
388,2.739325,1.840000
389,2.746793,1.540000
390,2.753863,1.222000
391,2.760909,1.888000
392,2.767992,1.424000
393,2.775052,1.310000
394,2.782093,1.906000
395,2.789143,1.442000
396,2.796228,1.654000
397,2.803277,2.092000
398,2.810324,1.500000
399,2.817402,1.694000
400,2.824528,1.694000
401,2.831593,1.084000
402,2.838670,1.608000
403,2.845737,1.554000
404,2.852781,1.190000
405,2.859827,1.884000
406,2.866868,1.608000
407,2.873911,1.350000
408,2.880953,2.050000
409,2.887996,1.610000
410,2.895097,1.506000
411,2.902226,2.076000
412,2.909363,1.546000
413,2.916428,1.700000
414,2.923473,2.056000
415,2.930520,1.522000
416,2.937564,1.896000
417,2.944648,2.036000
418,2.951705,1.542000
419,2.958753,2.082000
420,2.965796,1.986000
421,2.972838,1.586000
422,2.979879,2.246000
423,2.986921,1.938000
424,2.993962,1.668000
425,3.001004,2.374000
426,3.008044,1.954000
427,3.015086,1.874000
428,3.022126,2.494000
429,3.029167,2.008000
430,3.036214,2.144000
431,3.043254,2.568000
432,3.050317,2.040000
433,3.057362,2.352000
